title,abstract,author,issued,type,type-name,link
Hate begets hate: A temporal study of hate speech,"With the ongoing debate on 'freedom of speech' vs. 'hate speech,' there is an urgent need to carefully understand the consequences of the inevitable culmination of the two, i.e., 'freedom of hate speech' over time. An ideal scenario to understand this would be to observe the effects of hate speech in an (almost) unrestricted environment. Hence, we perform the first temporal analysis of hate speech on Gab.com, a social media site with very loose moderation policy. We first generate temporal snapshots of Gab from millions of posts and users. Using these temporal snapshots, we compute an activity vector based on DeGroot model to identify hateful users. The amount of hate speech in Gab is steadily increasing and the new users are becoming hateful at an increased and faster rate. Further, our analysis analysis reveals that the hate users are occupying the prominent positions in the Gab network. Also, the language used by the community as a whole seem to correlate more with that of the hateful users as compared to the non-hateful ones. We discuss how, many crucial design questions in CSCW open up from our work.","Binny Mathew, Anurag Illendula, Punyajoy Saha, Soumya Sarkar, Pawan Goyal, Animesh Mukherjee",2020/10/14,Journal,Proceedings of the ACM on Human-Computer Interaction,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:OcBU2YAGkTUC
Using communities of words derived from multilingual word vectors for cross-language information retrieval in Indian languages,"We investigate the use of word embeddings for query translation to improve precision in cross-language information retrieval (CLIR). Word vectors represent words in a distributional space such that syntactically or semantically similar words are close to each other in this space. Multilingual word embeddings are constructed in such a way that similar words across languages have similar vector representations. We explore the effective use of bilingual and multilingual word embeddings learned from comparable corpora of Indic languages to the task of CLIR.We propose a clustering method based on the multilingual word vectors to group similar words across languages. For this we construct a graph with words from multiple languages as nodes and with edges connecting words with similar vectors. We use the Louvain method for community detection to find communities in this graph. We show that choosing target language words as query translations from the clusters or communities containing the query terms helps in improving CLIR. We also find that better-quality query translations are obtained when words from more languages are used to do the clustering even when the additional languages are neither the source nor the target languages. This is probably because having more similar words across multiple languages helps define well-defined dense subclusters that help us obtain precise query translations.In this article, we demonstrate the use of multilingual word embeddings and word clusters for CLIR involving Indic languages. We also make available a tool for obtaining related words and the visualizations of the multilingual word vectors for English, Hindi, Bengali, Marathi, Gujarati, and Tamil.","Paheli Bhattacharya, Pawan Goyal, Sudeshna Sarkar",2018/12/17,Journal,ACM Transactions on Asian and Low-Resource Language Information Processing (TALLIP),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:Z5m8FVwuT1cC
Using word embeddings for query translation for hindi to english cross language information retrieval,"Cross-Language Information Retrieval (CLIR) has become an important problem to solve in the recent years due to the growth of content in multiple languages in the Web. One of the standard methods is to use query translation from source to target language. In this paper, we propose an approach based on word embeddings, a method that captures contextual clues for a particular word in the source language and gives those words as translations that occur in a similar context in the target language. Once we obtain the word embeddings of the source and target language pairs, we learn a projection from source to target word embeddings, making use of a dictionary with word translation pairs. We then propose various methods of query translation and aggregation. The advantage of this approach is that it does not require the corpora to be aligned (which is difficult to obtain for resource-scarce languages), a dictionary with word translation pairs is enough to train the word vectors for translation. We experiment with Forum for Information Retrieval and Evaluation (FIRE) 2008 and 2012 datasets for Hindi to English CLIR. The proposed word embedding based approach outperforms the basic dictionary based approach by 70% and when the word embeddings are combined with the dictionary, the hybrid approach beats the baseline dictionary based method by 77%. It outperforms the English monolingual baseline by 15%, when combined with the translations obtained from Google Translate and Dictionary.","Paheli Bhattacharya, Pawan Goyal, Sudeshna Sarkar",2016/9,Journal,Computación y Sistemas,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:mvPsJ3kp5DgC
A little pretraining goes a long way: A case study on dependency parsing task for low-resource morphologically rich languages,"Neural dependency parsing has achieved remarkable performance for many domains and languages. The bottleneck of massive labeled data limits the effectiveness of these approaches for low resource languages. In this work, we focus on dependency parsing for morphological rich languages (MRLs) in a low-resource setting. Although morphological information is essential for the dependency parsing task, the morphological disambiguation and lack of powerful analyzers pose challenges to get this information for MRLs. To address these challenges, we propose simple auxiliary tasks for pretraining. We perform experiments on 10 MRLs in low-resource settings to measure the efficacy of our proposed pretraining method and observe an average absolute gain of 2 points (UAS) and 3.6 points (LAS). Code and data available at: https://github.com/jivnesh/LCM","Jivnesh Sandhan, Amrith Krishna, Ashim Gupta, Laxmidhar Behera, Pawan Goyal",2021/2/12,Journal,arXiv preprint arXiv:2102.06551,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:fbc8zXXH2BUC
Query translation for cross-language information retrieval using multilingual word clusters,"In Cross-Language Information Retrieval, finding the appropriate translation of the source language query has always been a difficult problem to solve. We propose a technique towards solving this problem with the help of multilingual word clusters obtained from multilingual word embeddings. We use word embeddings of the languages projected to a common vector space on which a community-detection algorithm is applied to find clusters such that words that represent the same concept from different languages fall in the same group. We utilize these multilingual word clusters to perform query translation for Cross-Language Information Retrieval for three languages-English, Hindi and Bengali. We have experimented with the FIRE 2012 and Wikipedia datasets and have shown improvements over several standard methods like dictionary-based method, a transliteration-based model and Google Translate.","Paheli Bhattacharya, Pawan Goyal, Sudeshna Sarkar",2016/12,Conference,Proceedings of the 6th Workshop on South and Southeast Asian Natural Language Processing (WSSANLP2016),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:PELIpwtuRlgC
Prabhupadavani: A code-mixed speech translation data for 25 languages,"Nowadays, the interest in code-mixing has become ubiquitous in Natural Language Processing (NLP); however, not much attention has been given to address this phenomenon for Speech Translation (ST) task. This can be solely attributed to the lack of code-mixed ST task labelled data. Thus, we introduce Prabhupadavani, which is a multilingual code-mixed ST dataset for 25 languages. It is multi-domain, covers ten language families, containing 94 hours of speech by 130+ speakers, manually aligned with corresponding text in the target language. The Prabhupadavani is about Vedic culture and heritage from Indic literature, where code-switching in the case of quotation from literature is important in the context of humanities teaching. To the best of our knowledge, Prabhupadvani is the first multi-lingual code-mixed ST dataset available in the ST literature. This data also can be used for a code-mixed machine translation task. All the dataset can be accessed at https://github.com/frozentoad9/CMST.","Jivnesh Sandhan, Ayush Daksh, Om Adideva Paranjay, Laxmidhar Behera, Pawan Goyal",2022/1/27,Journal,arXiv preprint arXiv:2201.11391,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:43bX7VzcjpAC
Meta-ed: Cross-lingual event detection using meta-learning for indian languages,"Lack of annotated data is a major concern in Event Detection (ED) tasks for low-resource languages. Cross-lingual ED seeks to address this issue by transferring information across various languages to improve overall performance. In this article, we propose a method for cross-lingual ED with a few training instances. We present a model agnostic meta-learning approach for few-shot cross-lingual ED that is able to find good parameter initialization and enables fast adaptation to new low-resource languages. We evaluate our model on four Indian languages. The results show that our approach significantly outperforms the base model.","Aniruddha Roy, Isha Sharma, Sudeshna Sarkar, Pawan Goyal",2023/2/21,Journal,ACM Transactions on Asian and Low-Resource Language Information Processing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:MhiOAD_qIWkC
Event argument extraction using causal knowledge structures,"Event Argument extraction refers to the task of extracting structured information from unstructured text for a particular event of interest. The existing works exhibit poor capabilities to extract causal event arguments like Reason and After Effects. Furthermore, most of the existing works model this task at a sentence level, restricting the context to a local scope. While it may be effective for short spans of text, for longer bodies of text such as news articles, it has often been observed that the arguments for an event do not necessarily occur in the same sentence as that containing an event trigger. To tackle the issue of argument scattering across sentences, the use of global context becomes imperative in this task. In our work, we propose an external knowledge aided approach to infuse document-level event information to aid the extraction of complex event arguments. We develop a causal network for our event-annotated dataset by extracting relevant event causal structures from ConceptNet and phrases from Wikipedia. We use the extracted event causal features in a bi-directional transformer encoder to effectively capture long-range inter-sentence dependencies. We report the effectiveness of our proposed approach through both qualitative and quantitative analysis. In this task, we establish our findings on an event annotated dataset in 5 Indian languages. This dataset adds further complexity to the task by labelling arguments of entity type (like Time, Place) as well as more complex argument types (like Reason, After-Effect). Our approach achieves state-of-the-art performance across all the five languages. Since our work does not rely on any language-specific features, it can be easily extended to other languages.","Debanjana Kar, Sudeshna Sarkar, Pawan Goyal",2021/5/2,Journal,arXiv preprint arXiv:2105.00477,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:gKiMpY-AVTkC
Fully contextualized biomedical NER,"Recently, neural network architectures have outperformed traditional methods in biomedical named entity recognition. Borrowed from innovations in general text NER, these models fail to address two important problems of polysemy and usage of acronyms across biomedical text. We hypothesize that using a fully-contextualized model that uses contextualized representations along with context dependent transition scores in CRF can alleviate this issue and help further boost the tagger’s performance. Our experiments with this architecture have shown to improve state-of-the-art F1 score on 3 widely used biomedical corpora for NER. We also perform analysis to understand the specific cases where our contextualized model is superior to a strong baselin","Ashim Gupta, Pawan Goyal, Sudeshna Sarkar, Mahanandeeshwar Gattu",2019/4/7,Book,European Conference on Information Retrieval,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:L7CI7m0gUJcC
Enhancing low-resource nmt with a multilingual encoder and knowledge distillation: A case study,"Neural Machine Translation (NMT) remains a formidable challenge, especially when dealing with low-resource languages. Pre-trained sequence-to-sequence (seq2seq) multi-lingual models, such as mBART-50, have demonstrated impressive performance in various low-resource NMT tasks. However, their pre-training has been confined to 50 languages, leaving out support for numerous low-resource languages, particularly those spoken in the Indian subcontinent. Expanding mBART-50's language support requires complex pre-training, risking performance decline due to catastrophic forgetting. Considering these expanding challenges, this paper explores a framework that leverages the benefits of a pre-trained language model along with knowledge distillation in a seq2seq architecture to facilitate translation for low-resource languages, including those not covered by mBART-50. The proposed framework employs a multilingual encoder-based seq2seq model as the foundational architecture and subsequently uses complementary knowledge distillation techniques to mitigate the impact of imbalanced training. Our framework is evaluated on three low-resource Indic languages in four Indic-to-Indic directions, yielding significant BLEU-4 and chrF improvements over baselines. Further, we conduct human evaluation to confirm effectiveness of our approach. Our code is publicly available at https://github.com/raypretam/Two-step-low-res-NMT.","Aniruddha Roy, Pretam Ray, Ayush Maheshwari, Sudeshna Sarkar, Pawan Goyal",2024/7/9,Journal,arXiv preprint arXiv:2407.06538,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&cstart=100&pagesize=100&citation_for_view=F14FHsIAAAAJ:5bg8sr1QxYwC
