title,container-title,author,issued,DOI,abstract,link,type
Pre-annotation based approach for development of a Sanskrit named entity recognition dataset,"Proceedings of the Computational Sanskrit & Digital Humanities: Selected papers presented at the 18th World Sanskrit Conference, 59-70, 2023","Sarkar Sujoy, Krishna Amrith, Goyal Pawan",2023,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SSIMTwgAAAAJ&citation_for_view=SSIMTwgAAAAJ:u5HHmVD_uO8C,inproceedings
Mahānama: A Unique Testbed for Literary Entity Discovery and Linking,"arXiv preprint, 2025","Sarkar Sujoy, Sarkar Gourav, Jagadeeshan Manoj Balaji, Sandhan Jivnesh, Krishna Amrith, Goyal Pawan",2025,,,https://arxiv.org/abs/2509.19844,misc
From Plain Text to Poetic Form: Generating Metrically-Constrained Sanskrit Verses,"arXiv preprint, 2025","Jagadeeshan Manoj Balaji, Bhatia Samarth, Ray Pretam, Surana Harshul Raj, Rajeev Akhil, Mishra Priya, Kulkarni Annarao, Ramakrishnan Ganesh, AP Prathosh, Goyal Pawan",2025,,,https://arxiv.org/abs/2506.00815,misc
REFINE-AF: A Task-Agnostic Framework to Align Language Models via Self-Generated Instructions using Reinforcement Learning from Automated Feedback,"arXiv preprint, 2025","Roy Aniruddha, Ray Pretam, Nandy Abhilash, Aditya Somak, Goyal Pawan",2025,,,https://arxiv.org/abs/2505.06548,misc
Anveshana: A New Benchmark Dataset for Cross-Lingual Information Retrieval On English Queries and Sanskrit Documents,"arXiv preprint, 2025","Jagadeeshan Manoj Balaji, Raj Prince, Goyal Pawan",2025,,,https://arxiv.org/abs/2505.19494,misc
Vedavani: A Benchmark Corpus for ASR on Vedic Sanskrit Poetry,"arXiv preprint, 2025","Kumar Sujeet, Ray Pretam, Beerukuri Abhinay, Kamoji Shrey, Jagadeeshan Manoj Balaji, Goyal Pawan",2025,,,https://arxiv.org/abs/2506.00145,misc
Hate begets hate: A temporal study of hate speech,"Proceedings of the ACM on Human-Computer Interaction 4 (CSCW2), 1-24, 2020","Mathew B, Illendula A, Saha P, Sarkar S, Goyal P, Mukherjee A",2020,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:OcBU2YAGkTUC,
Medical entity linking using triplet network,"arXiv preprint arXiv:2012.11164, 2020","Mondal I, Purkayastha S, Sarkar S, Goyal P, Pillai J, Bhattacharyya A,  ...",2020,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:ILKRHgRFtOwC,
Drug-drug interactions prediction based on drug embedding and graph auto-encoder,"2019 IEEE 19th International Conference on Bioinformatics and Bioengineering …, 2019","Purkayastha S, Mondal I, Sarkar S, Goyal P, Pillai JK",2019,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:-FonjvnnhkoC,
FeRoSA: A Faceted Recommendation System for Scientific Articles,"Pacific-Asia Conference on Knowledge Discovery and Data Mining, 528-541, 2016","Chakraborty T, Krishna A, Singh M, Ganguly N, Goyal P, Mukherjee A",2016,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:LPZeul_q3PIC,
Using communities of words derived from multilingual word vectors for cross-language information retrieval in Indian languages,"ACM Transactions on Asian and Low-Resource Language Information Processing …, 2018","Bhattacharya P, Goyal P, Sarkar S",2018,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:Z5m8FVwuT1cC,
Using word embeddings for query translation for hindi to english cross language information retrieval,"Computación y Sistemas 20 (3), 435-447, 2016","Bhattacharya P, Goyal P, Sarkar S",2016,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:mvPsJ3kp5DgC,
A little pretraining goes a long way: A case study on dependency parsing task for low-resource morphologically rich languages,"arXiv preprint arXiv:2102.06551, 2021","Sandhan J, Krishna A, Gupta A, Behera L, Goyal P",2021,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:fbc8zXXH2BUC,
Query translation for cross-language information retrieval using multilingual word clusters,"Proceedings of the 6th Workshop on South and Southeast Asian Natural …, 2016","Bhattacharya P, Goyal P, Sarkar S",2016,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F14FHsIAAAAJ&pagesize=100&citation_for_view=F14FHsIAAAAJ:PELIpwtuRlgC,
